Corrupted formatting,374
Missing datetime,0
Missing city,0
Missing state,0
Missing country,0
Missing shape,1921
Missing duration (seconds),0
Missing duration (hours/min),0
Missing comments,8
Missing date posted,0
Missing latitude,0
Missing longitude ,0
